batch_id,t1,t2,q1,t3,q2,t4,t5
ba0f743c-38ab-40dc-9033-180cec042ac7,2.014231,0.000160,0,0.498571,1,0.000939,1.951833
4ccc59c1-742c-4541-a5c8-9ddca6abf7a5,2.094562,0.000109,0,0.402839,1,0.000678,1.979200
57179977-2eff-4c80-997f-c216e1ecc6b8,2.084530,0.000092,0,0.401423,1,0.000818,1.975227
fbe71ea6-21e0-445d-967f-7d5130433b7b,1.980553,0.000179,0,0.471363,1,0.000638,1.972779
bd60a435-a6a2-48a8-b367-df0a2461fb47,1.941062,0.000138,0,0.427760,1,0.000429,2.059802
fb9967d5-fadb-4390-bfde-459078759a8c,1.898387,0.000073,0,0.473746,1,0.002379,2.022572
a49b6c0e-8ad0-4750-bfa7-5442882e8951,2.037889,0.000146,0,0.404711,1,0.000514,2.004089
d3e05295-5060-4ff0-8b6c-1a450a0ac9da,2.044558,0.000119,0,0.432152,1,0.001330,2.014872
24c86309-b053-479e-b0e6-5f33bff07cb7,2.053253,0.000087,0,0.413665,1,0.001270,2.034538
0cc806b9-4dc0-460a-8fe9-ffeb5db27ab8,2.060961,0.000091,0,0.428178,1,0.000569,1.931055
a7922984-564e-4a83-80a1-724f225106ee,1.852318,0.000069,0,0.429926,1,0.000457,1.951112
924ff25c-4979-4405-9068-f9ca4d7bff7a,1.959194,0.002136,0,0.409976,1,0.000702,1.982593
8f2f99fa-1116-48f9-92a0-b1a686c52420,1.966547,0.001474,0,0.402047,1,0.000435,2.026872
2c50a5de-8e0c-4f0d-bf06-92f1753400a1,1.961225,0.000164,0,0.326320,1,0.003076,1.942197
278357dd-9223-4753-bf55-6730f5742360,2.032683,0.000081,0,0.431215,1,0.001106,2.012502
dd9ccbc7-ca4f-47f0-aec0-4c8efc3a9785,1.917972,0.000105,0,0.448529,1,0.000760,2.169206
69e274c6-89a8-4f2f-a4e2-4e5d66bc8f5e,1.995822,0.000129,0,0.395896,1,0.000847,1.971225
